nbMots,sumLongueurMot,sumB10,frequence0,frequence1,nbPrefixeSelf,isCode
10,44,249,0.45454545454545453,0.5454545454545454,7,0
4,17,73,0.4117647058823529,0.5882352941176471,3,1
8,42,295,0.42857142857142855,0.5714285714285714,3,1
9,37,161,0.6216216216216216,0.3783783783783784,10,0
4,20,49,0.45,0.55,0,1
6,21,24,0.6666666666666666,0.3333333333333333,2,0
8,30,48,0.43333333333333335,0.5666666666666667,3,0
5,29,179,0.4827586206896552,0.5172413793103449,0,1
3,16,71,0.5,0.5,0,1
3,14,57,0.5,0.5,1,1
2,6,27,0.3333333333333333,0.6666666666666666,0,1
5,18,30,0.5555555555555556,0.4444444444444444,2,1
2,6,10,0.5,0.5,0,1
5,17,62,0.5294117647058824,0.47058823529411764,2,1
10,36,102,0.5833333333333334,0.4166666666666667,20,0
7,27,186,0.48148148148148145,0.5185185185185185,5,0
7,32,140,0.4375,0.5625,1,1
8,29,82,0.3448275862068966,0.6551724137931034,7,0
1,7,9,0.7142857142857143,0.2857142857142857,0,1
9,25,70,0.32,0.68,17,0
6,13,26,0.23076923076923078,0.7692307692307693,10,0
9,32,82,0.59375,0.40625,11,0
2,5,3,0.6,0.4,1,1
5,19,86,0.5789473684210527,0.42105263157894735,3,0
8,34,149,0.5588235294117647,0.4411764705882353,11,0
7,26,102,0.5384615384615384,0.46153846153846156,5,0
2,9,115,0.4444444444444444,0.5555555555555556,1,1
3,16,142,0.5625,0.4375,0,1
6,28,128,0.5357142857142857,0.4642857142857143,3,1
1,1,0,1.0,0.0,0,1
2,12,81,0.4166666666666667,0.5833333333333334,0,1
5,18,20,0.6666666666666666,0.3333333333333333,5,0
7,25,127,0.56,0.44,6,0
3,16,117,0.5,0.5,1,1
8,24,32,0.5416666666666666,0.4583333333333333,6,0
9,34,51,0.7647058823529411,0.23529411764705882,16,0
8,38,219,0.47368421052631576,0.5263157894736842,3,0
7,17,18,0.6470588235294118,0.35294117647058826,9,0
1,5,4,0.8,0.2,0,1
9,40,221,0.475,0.525,8,0
4,13,9,0.6923076923076923,0.3076923076923077,3,0
9,30,44,0.6333333333333333,0.36666666666666664,17,0
2,12,120,0.25,0.75,0,1
1,1,1,0.0,1.0,0,1
1,7,64,0.8571428571428571,0.14285714285714285,0,1
7,20,45,0.45,0.55,5,0
9,35,164,0.45714285714285713,0.5428571428571428,8,0
5,24,178,0.4583333333333333,0.5416666666666666,0,1
9,29,46,0.5862068965517241,0.41379310344827586,9,0
5,12,4,0.75,0.25,2,0
7,28,179,0.5,0.5,3,0
10,47,263,0.425531914893617,0.574468085106383,4,0
10,46,282,0.5652173913043478,0.43478260869565216,10,0
6,29,85,0.41379310344827586,0.5862068965517241,0,1
4,7,3,0.5714285714285714,0.42857142857142855,9,1
8,39,141,0.5897435897435898,0.41025641025641024,2,1
4,15,22,0.5333333333333333,0.4666666666666667,0,1
7,27,106,0.2962962962962963,0.7037037037037037,5,0
9,26,30,0.5384615384615384,0.46153846153846156,11,0
6,25,88,0.64,0.36,3,0
8,28,155,0.42857142857142855,0.5714285714285714,21,0
6,29,144,0.5172413793103449,0.4827586206896552,2,0
6,21,105,0.47619047619047616,0.5238095238095238,6,0
3,14,123,0.21428571428571427,0.7857142857142857,0,1
2,8,1,0.875,0.125,1,1
9,32,155,0.5625,0.4375,15,0
9,43,208,0.5348837209302325,0.46511627906976744,4,0
10,44,233,0.5227272727272727,0.4772727272727273,8,0
10,37,102,0.6216216216216216,0.3783783783783784,8,0
6,18,35,0.3333333333333333,0.6666666666666666,2,0
2,14,44,0.6428571428571429,0.35714285714285715,0,1
10,29,60,0.4827586206896552,0.5172413793103449,14,0
6,23,174,0.34782608695652173,0.6521739130434783,7,0
4,17,74,0.6470588235294118,0.35294117647058826,3,1
9,31,142,0.5806451612903226,0.41935483870967744,14,0
4,16,118,0.625,0.375,1,1
10,40,246,0.475,0.525,12,0
10,30,149,0.5333333333333333,0.4666666666666667,21,0
6,33,129,0.6363636363636364,0.36363636363636365,1,1
8,36,135,0.5555555555555556,0.4444444444444444,6,0
7,32,94,0.46875,0.53125,0,1
5,15,134,0.3333333333333333,0.6666666666666666,9,0
7,26,107,0.6153846153846154,0.38461538461538464,10,0
8,27,147,0.2962962962962963,0.7037037037037037,9,0
1,5,2,0.8,0.2,0,1
1,1,1,0.0,1.0,0,1
5,20,109,0.45,0.55,7,1
1,4,5,0.5,0.5,0,1
7,29,64,0.4827586206896552,0.5172413793103449,2,0
2,8,11,0.625,0.375,1,1
3,12,28,0.5833333333333334,0.4166666666666667,1,1
5,20,146,0.4,0.6,3,0
6,22,165,0.5,0.5,6,0
9,30,147,0.4666666666666667,0.5333333333333333,10,0
1,6,28,0.5,0.5,0,1
2,8,15,0.5,0.5,0,1
2,3,4,0.0,1.0,1,0
8,29,89,0.5172413793103449,0.4827586206896552,14,0
6,19,82,0.7894736842105263,0.21052631578947367,6,0
6,27,156,0.48148148148148145,0.5185185185185185,4,0
1,5,10,0.6,0.4,0,1
6,15,7,0.8,0.2,7,0
1,4,8,0.75,0.25,0,1
4,20,122,0.55,0.45,2,1
3,10,3,0.8,0.2,0,1
4,20,60,0.55,0.45,2,1
3,16,34,0.75,0.25,0,1
9,43,201,0.6744186046511628,0.32558139534883723,7,0
3,15,112,0.6666666666666666,0.3333333333333333,0,1
8,33,112,0.6060606060606061,0.3939393939393939,7,0
10,53,309,0.5471698113207547,0.4528301886792453,2,0
3,11,10,0.5454545454545454,0.45454545454545453,1,1
10,37,166,0.5135135135135135,0.4864864864864865,10,0
4,21,81,0.5714285714285714,0.42857142857142855,0,1
4,17,76,0.6470588235294118,0.35294117647058826,2,0
8,33,164,0.48484848484848486,0.5151515151515151,4,0
1,7,86,0.42857142857142855,0.5714285714285714,0,1
8,33,138,0.5454545454545454,0.45454545454545453,5,0
9,40,162,0.475,0.525,2,0
9,23,55,0.43478260869565216,0.5652173913043478,14,0
2,5,13,0.4,0.6,1,1
7,36,116,0.5277777777777778,0.4722222222222222,3,1
8,27,48,0.4444444444444444,0.5555555555555556,16,1
10,41,139,0.6097560975609756,0.3902439024390244,9,0
2,8,15,0.5,0.5,0,1
10,44,254,0.38636363636363635,0.6136363636363636,11,0
5,14,28,0.6428571428571429,0.35714285714285715,3,1
5,23,39,0.5217391304347826,0.4782608695652174,0,1
8,30,89,0.5333333333333333,0.4666666666666667,3,0
3,13,58,0.38461538461538464,0.6153846153846154,0,1
2,10,111,0.4,0.6,0,1
6,32,237,0.46875,0.53125,2,1
8,41,266,0.4878048780487805,0.5121951219512195,2,0
3,5,4,0.4,0.6,1,1
